Lbl,Asset Bundle,Asset Type,Default
Adult_Glasses,adult-moxie,MoxieCustomization,True
Adult_Hair,adult-moxie,MoxieCustomization,True
Adult_colorMap,adult-moxie,MoxieCustomization,True
Angry_breaths_Icon,animal-breathing,Icon,True
Animal_breaths_Icon,animal-breathing,Icon,True
Breathing_Icon_Bee,animal-breathing,Icon,True
Breathing_Icon_Bunny,animal-breathing,Icon,True
Breathing_Icon_Cat,animal-breathing,Icon,True
Breathing_Icon_Dragon,animal-breathing,Icon,True
Breathing_Icon_Lion,animal-breathing,Icon,True
Breathing_Icon_Snake,animal-breathing,Icon,True
Breathing_Icon_Whale,animal-breathing,Icon,True
Breathing_Icon_Wolf,animal-breathing,Icon,True
Calm_breaths_Icon,animal-breathing,Icon,True
Energy_breaths_Icon,animal-breathing,Icon,True
SC_animalBreath_bee,animal-breathing,Audio,True
SC_animalBreath_snake,animal-breathing,Audio,True
Shape_breaths_icon,animal-breathing,Icon,True
bee - buzz,animal-breathing,Audio,True
sfxvg_bearbreathout_02count,animal-breathing,Audio,True
sfxvg_bearbreathout_05count,animal-breathing,Audio,True
sfxvg_bearbreathout_06count,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_bee01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_bee03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_bee04,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_cat01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_cat02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon04,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion04,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_snake01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_snake02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf04,animal-breathing,Audio,True
sfxvg_roosterbreathout_03count_01,animal-breathing,Audio,True
sfxvg_roosterbreathout_03count_02,animal-breathing,Audio,True
sfxvg_roosterbreathout_03count_03,animal-breathing,Audio,True
sfxvg_whalebreathout_04count_01,animal-breathing,Audio,True
sfxvg_whalebreathout_04count_02,animal-breathing,Audio,True
snake - sssssss,animal-breathing,Audio,True
sniff1,animal-breathing,Audio,True
Anxiety_Ep1_01_Picking_Shells,anxiety,Icon,True
Anxiety_Ep1_02_Looking_For_Shells,anxiety,Icon,True
Anxiety_Ep1_03_Karu_And_Zaygo_Talking,anxiety,Icon,True
Anxiety_Ep1_04_Z_Worried,anxiety,Icon,True
Anxiety_Ep1_05_Karu_Talking,anxiety,Icon,True
Anxiety_Ep1_06_At_Z_Office,anxiety,Icon,True
Anxiety_Ep2_01_Talking_To_Z,anxiety,Icon,True
Anxiety_Ep2_02_Animal_Breathing,anxiety,Icon,True
Anxiety_Ep2_03_Zaygo_Jumping,anxiety,Icon,True
